low,high,currency,count
3900000.0,4500000.0,CZK,18
4500000.0,5100000.0,CZK,3
5100000.0,5700000.0,CZK,7
5700000.0,6300000.0,CZK,9
6300000.0,6900000.0,CZK,2
6900000.0,7500000.0,CZK,1
7500000.0,8100000.0,CZK,1
8100000.0,8700000.0,CZK,2
8700000.0,9300000.0,CZK,1
9300000.0,9900000.0,CZK,2
